series,year,persons,geography,boundary,population_universe,source_table,source_locator,source_note_locator,raw_stored_value,number_format
ons-current,1871,31484700,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B156,"Notes!B14:B15","31484700","#,##0"
ons-current,1872,31874200,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B155,"Notes!B14:B15","31874200","#,##0"
ons-current,1873,32177600,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B154,"Notes!B14:B15","32177600","#,##0"
ons-current,1874,32501500,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B153,"Notes!B14:B15","32501500","#,##0"
ons-current,1875,32838800,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B152,"Notes!B14:B15","32838800","#,##0"
ons-current,1876,33200000,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B151,"Notes!B14:B15","33200000","#,##0"
ons-current,1877,33575900,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B150,"Notes!B14:B15","33575900","#,##0"
ons-current,1878,33943800,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B149,"Notes!B14:B15","33943800","#,##0"
ons-current,1879,34304000,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B148,"Notes!B14:B15","34304000","#,##0"
ons-current,1880,34622900,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B147,"Notes!B14:B15","34622900","#,##0"
ons-current,1881,34934500,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B146,"Notes!B14:B15","34934500","#,##0"
ons-current,1882,35206600,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B145,"Notes!B14:B15","35206600","#,##0"
ons-current,1883,35449700,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B144,"Notes!B14:B15","35449700","#,##0"
ons-current,1884,35724200,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B143,"Notes!B14:B15","35724200","#,##0"
ons-current,1885,36015500,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B142,"Notes!B14:B15","36015500","#,##0"
ons-current,1886,36313600,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B141,"Notes!B14:B15","36313600","#,##0"
ons-current,1887,36599100,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B140,"Notes!B14:B15","36599100","#,##0"
ons-current,1888,36881300,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B139,"Notes!B14:B15","36881300","#,##0"
ons-current,1889,37178900,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B138,"Notes!B14:B15","37178900","#,##0"
ons-current,1890,37484800,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B137,"Notes!B14:B15","37484800","#,##0"
ons-current,1891,37802400,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B136,"Notes!B14:B15","37802400","#,##0"
ons-current,1892,38134100,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B135,"Notes!B14:B15","38134100","#,##0"
ons-current,1893,38490300,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B134,"Notes!B14:B15","38490300","#,##0"
ons-current,1894,38859100,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B133,"Notes!B14:B15","38859100","#,##0"
ons-current,1895,39221100,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B132,"Notes!B14:B15","39221100","#,##0"
ons-current,1896,39599100,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B131,"Notes!B14:B15","39599100","#,##0"
ons-current,1897,39987300,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B130,"Notes!B14:B15","39987300","#,##0"
ons-current,1898,40380800,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B129,"Notes!B14:B15","40380800","#,##0"
ons-current,1899,40774300,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B128,"Notes!B14:B15","40774300","#,##0"
ons-current,1900,41154600,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B127,"Notes!B14:B15","41154600","#,##0"
ons-current,1901,41538200,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B126,"Notes!B14:B15","41538200","#,##0"
ons-current,1902,41892700,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B125,"Notes!B14:B15","41892700","#,##0"
ons-current,1903,42246600,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B124,"Notes!B14:B15","42246600","#,##0"
ons-current,1904,42611400,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B123,"Notes!B14:B15","42611400","#,##0"
ons-current,1905,42980800,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B122,"Notes!B14:B15","42980800","#,##0"
ons-current,1906,43361100,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B121,"Notes!B14:B15","43361100","#,##0"
ons-current,1907,43737800,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B120,"Notes!B14:B15","43737800","#,##0"
ons-current,1908,44123800,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B119,"Notes!B14:B15","44123800","#,##0"
ons-current,1909,44519500,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B118,"Notes!B14:B15","44519500","#,##0"
ons-current,1910,44915900,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B117,"Notes!B14:B15","44915900","#,##0"
ons-current,1911,42189800,united-kingdom-historical,"UK total using Northern Ireland rather than all Ireland","UK total using Northern Ireland rather than all Ireland",Table 1,B116,"Notes!B14:B15","42189800","#,##0"
ons-current,1912,42373600,united-kingdom-historical,"UK total using Northern Ireland rather than all Ireland","UK total using Northern Ireland rather than all Ireland",Table 1,B115,"Notes!B14:B15","42373600","#,##0"
ons-current,1913,42582300,united-kingdom-historical,"UK total using Northern Ireland rather than all Ireland","UK total using Northern Ireland rather than all Ireland",Table 1,B114,"Notes!B14:B15","42582300","#,##0"
ons-current,1914,42956900,united-kingdom-historical,"UK total using Northern Ireland rather than all Ireland","UK total using Northern Ireland rather than all Ireland",Table 1,B113,"Notes!B14:B15","42956900","#,##0"
