year,agricultureOutputCurrentPrices,agricultureOutputCurrentPrices_state,fishingOutputCurrentPrices,fishingOutputCurrentPrices_state,industryOutputCurrentPrices,industryOutputCurrentPrices_state,servicesOutputCurrentPrices,servicesOutputCurrentPrices_state,grossDomesticProductOutputCurrentPrices,grossDomesticProductOutputCurrentPrices_state,foreignIncomeOutputCurrentPrices,foreignIncomeOutputCurrentPrices_state,grossNationalProductOutputCurrentPrices,grossNationalProductOutputCurrentPrices_state,grossDomesticProductPrimaryCompositionShare,grossDomesticProductPrimaryCompositionShare_state,grossDomesticProductSecondaryCompositionShare,grossDomesticProductSecondaryCompositionShare_state,grossDomesticProductTertiaryCompositionShare,grossDomesticProductTertiaryCompositionShare_state,wagesIncomeCurrentPrices,wagesIncomeCurrentPrices_state,capitalIncomeCurrentPrices,capitalIncomeCurrentPrices_state,profitIncomeCurrentPrices,profitIncomeCurrentPrices_state,depreciationIncomeCurrentPrices,depreciationIncomeCurrentPrices_state,indirectTaxesIncomeCurrentPrices,indirectTaxesIncomeCurrentPrices_state,grossNationalIncomeCurrentPrices,grossNationalIncomeCurrentPrices_state,grossDomesticIncomeCurrentPrices,grossDomesticIncomeCurrentPrices_state,grossNationalIncomeWagesCompositionShare,grossNationalIncomeWagesCompositionShare_state,grossNationalIncomeCapitalCompositionShare,grossNationalIncomeCapitalCompositionShare_state,grossNationalIncomeProfitCompositionShare,grossNationalIncomeProfitCompositionShare_state,publicConsumptionExpenditureCurrentPrices,publicConsumptionExpenditureCurrentPrices_state,publicInvestmentExpenditureCurrentPrices,publicInvestmentExpenditureCurrentPrices_state,privateConsumptionExpenditureCurrentPrices,privateConsumptionExpenditureCurrentPrices_state,privateInvestmentExpenditureCurrentPrices,privateInvestmentExpenditureCurrentPrices_state,stockBuildingExpenditureCurrentPrices,stockBuildingExpenditureCurrentPrices_state,goodsBalanceExpenditureCurrentPrices,goodsBalanceExpenditureCurrentPrices_state,servicesBalanceExpenditureCurrentPrices,servicesBalanceExpenditureCurrentPrices_state,indirectTaxesExpenditureCurrentPrices,indirectTaxesExpenditureCurrentPrices_state,grossDomesticExpenditureCurrentPrices,grossDomesticExpenditureCurrentPrices_state,foreignIncomeExpenditureCurrentPrices,foreignIncomeExpenditureCurrentPrices_state,grossNationalExpenditureCurrentPrices,grossNationalExpenditureCurrentPrices_state,grossDomesticExpenditureInvestmentCompositionShare,grossDomesticExpenditureInvestmentCompositionShare_state,grossDomesticExpenditureConsumptionCompositionShare,grossDomesticExpenditureConsumptionCompositionShare_state,grossDomesticExpenditureStockBuildingCompositionShare,grossDomesticExpenditureStockBuildingCompositionShare_state,grossDomesticExpenditureNetExportsCompositionShare,grossDomesticExpenditureNetExportsCompositionShare_state,expenditureDeflator,expenditureDeflator_state,outputDeflator,outputDeflator_state,incomeDeflator,incomeDeflator_state,population,grossDomesticIncomePerCapitaCurrentPrices,grossDomesticIncomePerCapitaCurrentPrices_state,grossDomesticProductPerCapitaCurrentPrices,grossDomesticProductPerCapitaCurrentPrices_state,grossDomesticExpenditurePerCapitaCurrentPrices,grossDomesticExpenditurePerCapitaCurrentPrices_state,grossDomesticIncomePerCapitaConstantPrices,grossDomesticIncomePerCapitaConstantPrices_state,grossDomesticProductPerCapitaConstantPrices,grossDomesticProductPerCapitaConstantPrices_state,grossDomesticExpenditurePerCapitaConstantPrices,grossDomesticExpenditurePerCapitaConstantPrices_state
1831,127.9781003186784,,0.816,,136.33432738224906,,249.02410953177636,,514.1525372327038,,17.111694107256014,,531.2642313399598,,0.2504978406055917,,0.26516319090057233,,0.48433896849383595,,201.78990234642535,,123.02078375768383,,71.49845077457499,,25.310814606741573,,32.69917860541827,,454.31913009084406,,437.207435983588,,0.5091729752579388,,0.31041621883005494,,0.1804108059120062,,48.605371586419245,,0.5980451254241819,,415.2446302394402,,35.40295487457582,,17.9,,-58.53674714689527,,2.3503831969549047,,32.69917860541827,,494.26381648133736,,17.111694107256014,,511.3755105885934,,0.07799774299364334,,1.0049513410742585,,0.038781133845899166,,-0.1217302179138012,,97.00894638096221,,99.02790427862645,,97.00894638096221,,2660091,164.3580749619423,,193.2838151900457,,185.80710828364042,,169.42568813859128,,195.18116292375464,,191.53605436962528,
1832,123.68786664899736,,0.816,,132.0115443298021,,278.8095095814476,,535.324920560247,,25.315272050850666,,560.6401926110977,,0.23257625764684595,,0.2466007825521082,,0.5208229598010459,,208.83733200588517,,163.09317203094724,,71.77805373563001,,25.198758620689656,,36.17577419828061,,505.08309059143266,,479.76781854058197,,0.4706632954169407,,0.3675682363435118,,0.1617684682395475,,52.35919549369095,,0.3857569811183507,,410.40145882478316,,36.68524301888165,,-3.3,,-83.29811816453005,,1.311990733530374,,36.17577419828061,,450.72130108575493,,25.315272050850666,,476.0365731366056,,0.08942564228913433,,1.1163084011375364,,-0.007960524926604172,,-0.1977735185000664,,91.51499413050706,,98.11027676669993,,91.51499413050706,,2670481,179.65595656384824,,200.46011207728012,,168.77907054412853,,196.3131378314309,,204.32121759676784,,184.42777836322347,
1833,101.72741518785465,,0.884,,129.69078105654322,,238.42189263754355,,470.7240888819414,,34.203502224154484,,504.92759110609586,,0.21798632704686122,,0.2755133720999563,,0.5065003008531825,,205.7896516902087,,135.3068391463545,,72.42956104204747,,25.001438848920863,,39.120290096703954,,477.6477808242355,,443.444278600081,,0.4976461597892692,,0.32720269625497117,,0.17515114395575965,,46.26315989754927,,0.5995051561878015,,368.66868765839337,,34.904494843812195,,20.2,,-48.90059478315294,,3.5731547911575507,,39.120290096703954,,464.4286976606512,,34.203502224154484,,498.6321998848057,,0.08347824629980256,,0.9756022692628186,,0.04749494635128469,,-0.10657546191390581,,86.02926476846166,,87.44657203561096,,86.02926476846166,,2694734,164.55957382067433,,174.68295159445844,,172.34676879449,,191.28325025625685,,199.75963325734728,,200.33504791461655,
1834,94.76038816840548,,1.02,,138.41551135002177,,236.26335180141615,,470.4592513198434,,38.44698090548832,,508.90623222533173,,0.2035891267940841,,0.2942136029033458,,0.5021972703025701,,208.66673186018087,,142.4722077097274,,73.06548179254949,,26.603076923076923,,41.71750199537518,,492.52500028090986,,454.07801937542155,,0.4919013601743849,,0.3358574322543264,,0.17224120757128866,,33.77080412924737,,0.6032809587878706,,359.1295689938939,,37.50871904121213,,25.8,,-56.56862955457182,,3.6532627022200446,,41.71750199537518,,445.6145082661647,,38.44698090548832,,484.061489171653,,0.09436068950322478,,0.9727736700769808,,0.06387767079091099,,-0.13101203037111667,,85.66350862497718,,85.8746076312562,,85.66350862497718,,2718406,167.03833767855926,,173.0643808613737,,163.92492816237333,,194.99357469681712,,201.5314953222361,,191.35911054030444,
1835,107.38547884596396,,0.7900886026263131,,148.52489080698842,,228.4966088998803,,485.197067155459,,44.38482714646806,,529.581894301927,,0.22295181642953008,,0.3061125073936205,,0.4709356761768494,,211.9090845768224,,200.88728120339528,,73.81732252258777,,27.76903765690376,,40.994245276703616,,555.3769712364128,,510.99214408994476,,0.43547703172081254,,0.41282702487067935,,0.1516959434085081,,24.507901392068735,,0.5617758181764737,,358.77643647194463,,41.37322418182353,,27.7,,-38.737468652608136,,4.224709618149478,,40.994245276703616,,459.4008241062583,,44.38482714646806,,503.7856512527264,,0.10022547952593969,,0.9160571493311797,,0.06620354794011038,,-0.08248617679722967,,85.6780028111466,,87.91730318661395,,85.6780028111466,,2746399,186.05896087565745,,176.66663407445859,,167.2738826755538,,217.16071193416218,,200.94637536761635,,195.23550641611325,
1836,116.6747532076503,,0.612,,165.71922714248214,,262.5832575249931,,545.5892378751255,,48.19540075383729,,593.7846386289627,,0.21497262971029296,,0.3037435778387036,,0.4812837924510035,,221.8941158223883,,149.96586952978475,,74.67317199149717,,28.27510094212652,,40.98901962876184,,515.7972779145585,,467.60187716072124,,0.4969264032762734,,0.33584486854660356,,0.16722872817712311,,25.893223014020126,,0.575589062249717,,384.0535262583041,,45.51541093775028,,2.7,,-41.951203692191655,,4.392958489724473,,40.98901962876184,,462.16852369861886,,48.19540075383729,,510.36392445245616,,0.10943315036610927,,0.9733302435446389,,0.006410568353658959,,-0.08917396226440723,,87.59976426761257,,94.60982544978934,,87.59976426761257,,2778269,168.30691238347373,,196.3773982559376,,166.35125097628014,,192.13169554806694,,207.56554334851577,,189.89919934953937,
1837,116.0323453029494,,1.224,,166.3553014087675,,245.64207269911077,,529.2537194108277,,54.85076213498657,,584.1044815458142,,0.2215503472200077,,0.3143205145425458,,0.4641291382374465,,221.3499411544375,,182.87496617728058,,75.38557685717113,,31.786421499292786,,41.93004822939876,,553.3269539175808,,498.47619178259424,,0.461520230377744,,0.3812989336264328,,0.15718083599582314,,35.58860961437099,,0.8664117825153708,,386.6930210158772,,45.02458821748463,,4.9,,-44.02552950423613,,4.281830632039725,,41.93004822939876,,475.2589799874505,,54.85076213498657,,530.1097421224371,,0.10590338340395683,,0.9745059692114632,,0.011307807166533493,,-0.09171715978195338,,88.00137156743598,,88.82604798677399,,88.00137156743598,,2804792,177.72305104356911,,188.69624535823962,,169.44535637132824,,201.9548648822807,,212.43345801710788,,192.54854027074026,
1838,126.10956118293191,,1.2919999999999998,,177.56944730374258,,263.6361009114504,,568.6071093981249,,61.73064249195051,,630.3377518900754,,0.22405903668314572,,0.31228847541442323,,0.4636524879024311,,221.99898494651498,,125.54205500764641,,76.24351884133252,,31.17926023778071,,41.036565190507694,,496.0003842237823,,434.2697417318318,,0.5238486875913883,,0.29624027681534604,,0.1799110355932657,,36.05815531388999,,1.0902444614893023,,403.1118147844642,,46.634755538510696,,8.4,,-47.64997943736621,,2.4159935288145604,,41.036565190507694,,491.0975493803102,,61.73064249195051,,552.8281918722607,,0.10604118480946377,,0.9758010259186223,,0.018664137294908238,,-0.10050634802299435,,89.79856745719755,,93.37872111058256,,89.79856745719755,,2836740,153.08760821641454,,200.44385787845374,,173.1203950239748,,170.47889799509738,,214.6568891654456,,192.78747971841818,
1839,145.43961022942298,,0.884,,174.00632732182981,,289.62851437264584,,609.9584519238986,,47.93452455677439,,657.8929764806729,,0.2398911102352903,,0.2852757048828298,,0.47483318488188,,222.379834540061,,112.91391820894508,,77.1026948729502,,31.089608636977058,,41.54906969316185,,485.03512595209526,,437.10060139532084,,0.5392379973745955,,0.2737994443454887,,0.18696255827991565,,36.510225860082855,,0.8452369033218062,,436.6721774269536,,46.4587630966782,,7.9,,-59.42352880763559,,2.394473400304612,,41.54906969316185,,512.9064175728673,,47.93452455677439,,560.8409421296417,,0.10035698013998584,,1.0038719146217632,,0.01676010787895079,,-0.12098900264069987,,93.8832767467689,,99.08686788164309,,93.8832767467689,,2868759,152.36574469842913,,212.62101554152807,,178.79034717550945,,162.29274262487112,,214.5804182603681,,190.4389720628948,
1840,150.19365710363766,,0.816,,180.5364703762405,,269.5380159245928,,601.084143404471,,43.620345643208346,,644.7044890476793,,0.2512288150679478,,0.30035141062564524,,0.4484197743064069,,227.85355677703524,,124.90536253861055,,78.00986998519419,,31.109599027946533,,42.37467873563424,,504.2530670644208,,460.63272142121247,,0.5289462988877475,,0.2899591744827623,,0.1810945266294901,,30.683646321326517,,0.837381193355242,,425.59888737515604,,48.02561880664476,,6.4,,-51.09537742297029,,-2.303764545510715,,42.37467873563424,,500.52107046363574,,43.620345643208346,,544.1414161068441,,0.1066536829324406,,0.9959317413272885,,0.01396933407215316,,-0.1165547583318821,,90.79477272085362,,95.58675565354979,,90.79477272085362,,2902807,158.68527305508513,,207.0699648321335,,172.42657554003273,,174.77357814745486,,216.63039342254692,,189.90804247085256,
1841,132.77722975923595,,1.224,,191.822830170555,,277.05061847511257,,602.8746784049035,,59.241049204923826,,662.1157276098273,,0.2222704561315774,,0.31818027368156054,,0.45954927018686204,,232.39577292200113,,139.71223046046381,,78.9838177956714,,31.549174078780172,,46.38164823324626,,529.0226434901627,,469.78159428523895,,0.5151850732186695,,0.30972015873746334,,0.1750947680438672,,34.75141656847985,,1.3273697169510354,,445.82912231310996,,45.359630283048965,,-1.7,,-49.777620169761065,,4.276295411499152,,46.38164823324626,,526.4478623565742,,59.241049204923826,,585.688911561498,,0.0972511679149456,,1.0010713621228295,,-0.0035411781749824906,,-0.09478135186279267,,90.38022947370696,,93.75740714171067,,90.38022947370696,,2939344,159.82531962411986,,205.1051793886335,,179.10386207146024,,176.8365941918919,,218.7615737694463,,198.16708047147014,
1842,143.38169410388892,,1.496,,175.49777967747823,,262.6083077361869,,582.983781517554,,55.249560161446425,,638.2333416790004,,0.2485106767923467,,0.30103372553631474,,0.4504555976713386,,234.37346593293648,,145.1302941246928,,79.66653040646203,,30.745,,49.59491878256327,,539.5102092466545,,484.2606490852081,,0.5104282023474367,,0.316070741375726,,0.1735010562768373,,34.3907804966777,,2.370117002590728,,422.0344943048511,,37.953882997409266,,27,,-52.9288615587498,,4.000306333045689,,49.59491878256327,,524.4156383583879,,55.249560161446425,,579.6651985198343,,0.08492468491270337,,0.9612581254020901,,0.056863567419973,,-0.1030463777347666,,89.16406367237069,,92.12370219680247,,89.16406367237069,,2965025,163.3243055573589,,196.62019089807134,,176.86718943630757,,183.17279274920296,,213.43062231480297,,198.36151713115953,
1843,135.390731900448,,0.476,,160.95152127024383,,254.1687511553305,,550.9870043260223,,47.62071407881163,,598.6077184048339,,0.2465879064909031,,0.2921149137938793,,0.4612971797152176,,254.63850541887712,,156.10492796632428,,80.53810593230367,,28.996026490066225,,48.68723903569192,,568.9648048432632,,521.3440907644516,,0.518314825695719,,0.31775044546389297,,0.16393472884038812,,33.85233615915411,,2.1633566428317743,,411.8009290224307,,38.703643357168225,,25.6,,-39.27405706473391,,4.382191721932534,,48.68723903569192,,525.9156388744753,,47.62071407881163,,573.536352953287,,0.08563404863123322,,0.933836429961282,,0.05364307742089145,,-0.07311355601340677,,84.17055865835925,,87.63835770086442,,84.17055865835925,,2997746,173.91202949297625,,183.8004301652049,,175.43702464267332,,206.61859950207716,,209.7260092351,,208.4303911475228,
1844,118.38719504064143,,0.952,,153.66396367017322,,256.8151789449322,,529.8183376557469,,47.924216813159134,,577.742554468906,,0.2252454974825407,,0.29003141784423747,,0.4847230846732218,,256.9893291766779,,157.91042156496385,,81.39197555985926,,28.844036697247706,,49.720839777738874,,574.8566027764876,,526.9323859633286,,0.5178190881637929,,0.3181806449641114,,0.16400026687209573,,31.522009597093824,,2.8298887703780546,,409.41013104419085,,37.76611122962194,,17.4,,-68.08882699090061,,6.191213387298768,,49.720839777738874,,486.75136681542176,,47.924216813159134,,534.6755836285809,,0.09289053621762128,,1.008927553940106,,0.03981415238414155,,-0.1416322425418688,,82.11510143211757,,82.60584685457209,,82.11510143211757,,3029807,173.91615570342552,,174.8686756799185,,160.6542485430332,,211.79558043558836,,211.69043395654,,195.6451928344044,
1845,132.6193540829071,,0.544,,171.95990967182772,,269.29542718651527,,574.4186909412501,,45.813806720353256,,620.2324976616034,,0.23182280831548827,,0.29936336053071655,,0.46881383115379516,,247.6633048731957,,172.716510706451,,82.31589079411914,,31.22849872773537,,50.295807697037475,,584.2200127985387,,538.4062060781855,,0.49267042016279394,,0.3435806363900636,,0.16374894344714253,,19.995177464399628,,2.4711820820627692,,422.05433634419666,,43.228817917937235,,-18.1,,-55.25969638379006,,4.512978397538177,,50.295807697037475,,469.1986035193819,,45.813806720353256,,515.0124102397351,,0.10909452134423389,,1.055255582481403,,-0.043208114580539025,,-0.12114198924509789,,85.77487893032125,,89.19193990289669,,85.77487893032125,,3064479,175.69257484818317,,187.44415965691073,,153.10876776097402,,204.82987214812164,,210.1581822987383,,178.50070984693676,
1846,160.96154842400398,,0.476,,171.01409007179456,,282.6483804420571,,615.1000189378556,,41.44264522771159,,656.5426641655672,,0.26245739465716755,,0.2780264750553883,,0.4595161302874443,,256.48272067103187,,180.6561253391224,,82.57143519520004,,34.1005376344086,,50.67706384166676,,604.4878826814297,,563.0452374537181,,0.4935109616769102,,0.3476092967030208,,0.15887974162006888,,36.083969244262875,,2.3448293505607554,,439.07168131155987,,42.10117064943924,,-46.1,,-40.24158390692138,,5.178696385223917,,50.67706384166676,,489.11582687579204,,41.44264522771159,,530.5584721035036,,0.1013733359076661,,1.0837446198132796,,-0.10514581256678683,,-0.079972143154159,,91.5294925977901,,95.04455382798845,,91.5294925977901,,3074237,183.14958718332974,,200.08217288968143,,159.10153539749604,,200.09898666012242,,210.5140850592975,,173.82543143403964,
1847,209.94877305055266,,1.156,,163.79855027443207,,305.3478313965279,,680.2511547215126,,45.049020990370984,,725.3001757118836,,0.3103335754526968,,0.24079128589129614,,0.4488751386560071,,266.1018051463434,,186.24136202579945,,82.3827225120133,,35.27737226277373,,48.98194076290694,,618.9852027098368,,573.9361817194658,,0.497641521160534,,0.3482931453642644,,0.15406533347520143,,37.15949292362294,,2.31942565622268,,471.3296306164659,,46.697574343777326,,-54.2,,-49.73538814288801,,7.888536534693285,,48.98194076290694,,510.44121269480115,,45.049020990370984,,555.4902336851721,,0.10622172525603585,,1.1019154982222044,,-0.11745348570653331,,-0.090683737771707,,95.85239549555367,,104.6399821022011,,95.85239549555367,,3067435,187.10622449032036,,221.765466822121,,166.40652946021714,,195.20245010360716,,211.93186616328384,,173.60706386095097,
1848,142.75016865335016,,1.632,,156.11606765552258,,261.3588929506801,,561.8571292595528,,40.60353719890858,,602.4606664584614,,0.256973100694878,,0.2778572336730179,,0.46516966563210416,,262.8181132895752,,186.30012681658272,,82.4765262149632,,35.083923705722064,,47.78793860262363,,614.4666286294669,,573.8630914305583,,0.4943955996940992,,0.35045515610671785,,0.1551492441991829,,35.872594384760426,,1.9114097366383171,,414.3270615908482,,40.27159026336168,,4.9,,-26.010859032670126,,8.718308552358643,,47.78793860262363,,527.7780440979208,,40.60353719890858,,568.3815812968294,,0.08788306158201276,,0.9379352841264341,,0.010208543767675665,,-0.03602688947612257,,86.32049835994393,,84.92457617026336,,86.32049835994393,,3071164,186.85524167076662,,182.94598701324736,,171.84951506917923,,216.46682447500177,,215.42172509223136,,199.08308957229573,
1849,135.75394573898492,,1.088,,151.59339363154416,,270.1404266524736,,558.5757660230026,,52.13663058301925,,610.7123966060219,,0.24498367824527076,,0.27139271492365713,,0.4836236068310722,,262.48916758737386,,138.42875198028386,,82.73805306349529,,32.81642189586115,,48.59442083593461,,565.0668153629488,,512.9301847799295,,0.5427187555637901,,0.2862132586251608,,0.17106798581104923,,30.148219844343007,,1.7407727473036445,,400.4970496761006,,39.42622725269636,,33.8,,-35.67629732418594,,11.074038542984347,,48.59442083593461,,529.6044315751766,,52.13663058301925,,581.7410621581959,,0.08558449737196186,,0.8952937774800256,,0.07026880781140989,,-0.051147082663397216,,82.04648478198867,,81.73071268475894,,82.04648478198867,,3081118,166.47534589065705,,181.28996228739135,,171.88709798689197,,202.90369091742332,,221.8137543797512,,209.49964942876585,
1850,139.54961609386746,,1.7472118959107765,,145.71993888639764,,273.9861133097024,,561.0028801858782,,45.60750779679724,,606.6103879826754,,0.2518647104680854,,0.2597490031390141,,0.48838628639290055,,267.2775904523971,,147.2606385621992,,83.65756865030227,,30.861052631578943,,51.04205409261578,,580.0989043890933,,534.491396592296,,0.5364910577430764,,0.29558787780311857,,0.16792106445380509,,29.501174842432153,,1.702710250713049,,410.07495457740464,,39.802289749286956,,27.4,,-27.6625,,11.507043522957119,,51.04205409261578,,543.3677270354096,,45.60750779679724,,588.9752348322069,,0.08430395220283933,,0.8928564029422729,,0.055654217331834656,,-0.03281457247694673,,84.10509653373468,,79.68186775530928,,84.10509653373468,,3115421,171.56313595892692,,180.07289550461343,,174.41229517147428,,203.98661083530496,,225.98980241977947,,207.37422862539285,
1851,152.3377241494857,,1.3977695167286213,,141.95320566342815,,279.3361172678266,,575.024816597469,,47.392176708859466,,622.4169933063284,,0.26735453710658336,,0.2468644857858348,,0.48578097710758195,,269.4554542808377,,162.1280360596766,,82.18302877121421,,30.81822916666666,,51.16592517952169,,595.750673457917,,548.3584967490575,,0.5244706384267896,,0.3155675390058235,,0.1599618225673867,,30.011290994964952,,2.123922297796945,,413.63609089658723,,38.961077702203056,,1.3,,-29.81,,6.66015369973559,,51.16592517952169,,514.0484607708095,,47.392176708859466,,561.4406374796689,,0.08875901949404481,,0.958444848917956,,0.002808487899288262,,-0.05001235631128902,,83.09741950778061,,79.62324736582161,,83.09741950778061,,3150484,174.05531872215744,,182.51951655601772,,163.16491712727614,,209.4593547587362,,229.22892822676366,,196.3537713851615,
1852,158.5948030223524,,1.3977695167286213,,148.06467206315483,,297.81453813805507,,605.8717827402909,,42.233220726872986,,648.1050034671639,,0.2640700179424966,,0.24438284845264577,,0.4915471336048577,,272.45351361289437,,140.41548670591243,,76.4955178090174,,33.140839694656485,,51.69238384056488,,574.1977416630456,,531.9645209361726,,0.5567496283858657,,0.2869343434278888,,0.15631602818624546,,30.032582214122446,,2.2333041246364354,,434.2506965637185,,58.047695875363566,,6.5,,-18.4525,,8.734460784356806,,51.69238384056488,,573.0386234027626,,42.233220726872986,,615.2718441296356,,0.11562565417297566,,0.8905469025109386,,0.012467722037198151,,-0.018640278721112385,,85.83494765059524,,84.0041577970676,,85.83494765059524,,3182526,167.15166535518406,,190.37449583767452,,180.0577979261639,,194.73614178178497,,226.6250871743399,,209.77212994771978,
1853,175.3863339636708,,1.257992565055759,,150.89221139238353,,289.64592875326605,,617.1824666743762,,45.46378659469906,,662.6462532690753,,0.2862108631837133,,0.24448557685938582,,0.4693035599569008,,275.2671484204099,,157.14280414126551,,75.71310889358291,,37.661596958174904,,53.00982244552144,,598.7944808589547,,553.3306942642556,,0.5417332321663341,,0.30926131101235677,,0.14900545682130917,,30.906812824347377,,2.815849657471313,,450.6275116649366,,53.49215034252869,,8.2,,-31.0875,,3.4381157650248326,,53.00982244552144,,571.4027626998303,,45.46378659469906,,616.8665492945294,,0.10862030638838734,,0.9288983068578381,,0.01581811665100476,,-0.053336729897230394,,90.1502572425406,,86.90128730681471,,90.1502572425406,,3205992,172.59266219761483,,192.50904764402912,,178.2296283645843,,191.449994128437,,221.52611728794582,,197.702850569882,
1854,219.37679996475586,,1.9568773234200696,,167.76504849341103,,317.8145059713401,,706.913231752927,,57.14276547104161,,764.0559972239686,,0.31309878970483634,,0.23732056631250967,,0.44958064398265407,,278.43326514729586,,202.26361117548166,,76.79644431495375,,41.19761904761905,,53.2003954582466,,651.8913351435968,,594.7485696725553,,0.49943784945941366,,0.362809030508396,,0.1377531200321903,,31.966590231822835,,2.897649927751461,,530.392466569305,,55.942350072248544,,43.6,,-12.6675,,4.678395762930128,,53.2003954582466,,710.0103480223046,,57.14276547104161,,767.1531134933462,,0.08958451340498133,,0.8561975265535909,,0.06638145452850418,,-0.012163494487076463,,99.10857104431449,,93.10450692669244,,99.10857104431449,,3230345,184.11301878671017,,218.83521164238712,,219.79396876256394,,185.7690176002917,,235.04255472260982,,221.7708987694791,
1855,216.4856371283537,,1.118215613382897,,160.72184925585364,,323.7695846592848,,702.095286656875,,65.74694416390514,,767.8422308207802,,0.3099349288867723,,0.22891743088200067,,0.461147640231227,,279.9365998270245,,214.21083815078845,,77.57885323038822,,42.52886836027714,,53.96570458921575,,668.220864157694,,602.4739199937889,,0.489633945704068,,0.3746737581336468,,0.13569229616228534,,35.525046697742056,,3.2800342030909997,,501.51314308023797,,53.996965796909,,7.2,,-19.0275,,4.2695882867150345,,53.96570458921575,,640.7229826539108,,65.74694416390514,,706.4699268178159,,0.09761617306037867,,0.9152646415384846,,0.012270832027423337,,-0.02515164662628655,,99.7897524742917,,94.79936938847075,,99.7897524742917,,3239542,185.9750298016784,,216.72671218859796,,197.7819650598482,,186.36686151675758,,228.61619606401695,,198.19867286553466,
1856,242.96384079372038,,1.6773234200743454,,165.87847308513926,,353.85728792594034,,764.3769252248743,,63.82424790651616,,828.2011731313904,,0.32005304731278095,,0.2170113560614601,,0.462935596625759,,287.0168030118178,,174.66352359220625,,79.38441226600627,,41.15522222222223,,48.908865508932614,,631.1288266011852,,567.3045786946691,,0.5304666565617066,,0.3228144638606035,,0.14671887957769,,35.26082783006792,,3.1014198746392867,,560.8731387690243,,57.600580125360715,,-4,,-36.25,,11.307803141915764,,48.908865508932614,,676.8026352499406,,63.82424790651616,,740.6268831564568,,0.09667558896951343,,0.9494185088744933,,-0.006370504363580339,,-0.03972359348042637,,100.37421050894453,,98.43458975096813,,100.37421050894453,,3265989,173.70070098052048,,234.04148796118855,,207.2274693056041,,173.053118026808,,237.76346155685246,,206.45489339827753,
1857,213.43938020362992,,0.7687732342007417,,184.36126630281603,,355.9929196256099,,754.5623393662565,,81.41224292229391,,835.9745822885504,,0.2838839712272684,,0.24432874089324122,,0.4717872878794905,,289.8728352579701,,197.839401784927,,82.18302877121421,,42.5,,49.66922461189022,,662.0644904260015,,580.6522475037076,,0.5086422938500439,,0.34715045667611905,,0.144207249473837,,34.86821121217359,,5.31691785652514,,546.4328064438517,,51.51608214347486,,-20.5,,-64.835,,12.012782807636436,,49.66922461189022,,614.4810250755519,,81.41224292229391,,695.8932679978458,,0.10062289766847118,,1.0291941796875126,,-0.036295275670889436,,-0.09352180168509419,,99.1537207170686,,98.22274319567323,,99.1537207170686,,3288374,176.57731374342077,,229.46366178733214,,186.86470124005112,,178.08440517051042,,233.61561113214782,,188.45959575562728,
1858,181.9303802976274,,1.8171003717472076,,169.88279990898212,,346.5562288597354,,700.1865094380921,,73.62011716526999,,773.8066266033621,,0.2624264795059164,,0.24262506863394878,,0.4949484518601349,,293.24975643916133,,254.0564613557188,,83.68766130089591,,40,,50.48559496875373,,721.4794740645298,,647.8593568992598,,0.4647426324632384,,0.40262904248736237,,0.13262832504939925,,37.121024294571114,,3.2280133922204257,,497.72193410155336,,51.05998660777957,,-43.9,,5.069999999999993,,13.885128850314347,,50.48559496875373,,614.6716822151926,,73.62011716526999,,688.2917993804626,,0.09622357095857766,,0.947990335966053,,-0.07781120625334437,,0.03359729932871361,,89.90153417954318,,93.38833916263398,,89.90153417954318,,3299879,196.32821594345117,,212.18551026813168,,186.27097606160487,,218.38138551825188,,227.20771369390638,,207.19443529139488,
1859,181.45283904496972,,2.4460966542750873,,150.96420370724388,,325.53083304633367,,660.3939724528224,,52.24510717341559,,712.639079626238,,0.27846852541099215,,0.2285971859290835,,0.49293428865992434,,296.8774380906827,,196.858268984545,,84.3196069633622,,37.408877284595306,,50.29843291829108,,665.7626242414761,,613.5175170680606,,0.5135796365516393,,0.34055264989987294,,0.14586771354848785,,40.67471081281686,,3.707706382959357,,452.29108185548984,,49.27529361704064,,-21.9,,17.3675,,8.030278908187817,,50.29843291829108,,599.7450044947856,,52.24510717341559,,651.9901116682012,,0.096429758125488,,0.8972042381734572,,-0.03985828856327855,,0.04622429226433331,,88.7753882297609,,91.08959519961242,,88.7753882297609,,3308969,185.41047591200177,,199.57695960669994,,181.24829954429478,,208.85346672000819,,219.09962292548332,,204.16503172613943,
1860,212.16490160459537,,1.9568773234200696,,170.56480185549884,,345.55331926491425,,730.2399000484286,,71.78417781965828,,802.0240778680868,,0.293221144056652,,0.23357365414323047,,0.47320520180011744,,296.27324846919913,,203.59846126672437,,86.06498069779299,,37.92857142857143,,52.47072937411674,,676.3359912364048,,604.5518134167464,,0.5056403760104091,,0.34747518732103744,,0.14688443666855336,,38.30025470002769,,3.610593412228724,,519.3627028157293,,54.81440658777127,,-12.3,,-11.2425,,6.268718509609116,,52.47072937411674,,651.284905399483,,71.78417781965828,,723.0690832191412,,0.09756783045417594,,0.9312788171069184,,-0.020540595885089673,,-0.00830605167600473,,90.39800195219655,,95.62816105731372,,90.39800195219655,,3326088,181.76061890627864,,219.54918211677762,,195.8110865976736,,201.0670755780594,,229.58632654788076,,216.60997186776393,
