year,agricultureValueAddedCurrentPrices,agricultureValueAddedCurrentPrices_state,fisheriesValueAddedCurrentPrices,fisheriesValueAddedCurrentPrices_state,industryValueAddedCurrentPrices,industryValueAddedCurrentPrices_state,servicesValueAddedCurrentPrices,servicesValueAddedCurrentPrices_state,grossDomesticProductValueAddedCurrentPrices,grossDomesticProductValueAddedCurrentPrices_state,agricultureValueAddedPriceIndex,agricultureValueAddedPriceIndex_state,fisheriesValueAddedPriceIndex,fisheriesValueAddedPriceIndex_state,industryValueAddedPriceIndex,industryValueAddedPriceIndex_state,servicesValueAddedPriceIndex,servicesValueAddedPriceIndex_state,grossDomesticProductValueAddedPriceIndex,grossDomesticProductValueAddedPriceIndex_state,agricultureValueAddedConstant1913Prices,agricultureValueAddedConstant1913Prices_state,fisheriesValueAddedConstant1913Prices,fisheriesValueAddedConstant1913Prices_state,industryValueAddedConstant1913Prices,industryValueAddedConstant1913Prices_state,servicesValueAddedConstant1913Prices,servicesValueAddedConstant1913Prices_state,grossDomesticProductValueAddedConstant1913Prices,grossDomesticProductValueAddedConstant1913Prices_state,housingValueAddedAdjustmentCurrentPrices,housingValueAddedAdjustmentCurrentPrices_state,servicesValueAddedHousingAdjustmentNominal,servicesValueAddedHousingAdjustmentNominal_state,servicesValueAddedHousingAdjustmentReal,servicesValueAddedHousingAdjustmentReal_state,grossDomesticProductValueAddedHousingAdjustmentNominal,grossDomesticProductValueAddedHousingAdjustmentNominal_state,grossDomesticProductValueAddedHousingAdjustmentReal,grossDomesticProductValueAddedHousingAdjustmentReal_state,agricultureEmployment,industryEmployment,servicesEmployment,totalEmployment,agricultureLabourInputManHours,industryLabourInputManHours,servicesLabourInputManHours,totalLabourInput,agricultureRealValueAddedProductivity,agricultureRealValueAddedProductivity_state,industryRealValueAddedProductivity,industryRealValueAddedProductivity_state,servicesRealValueAddedProductivity,servicesRealValueAddedProductivity_state,grossDomesticProductRealValueAddedProductivity,grossDomesticProductRealValueAddedProductivity_state,agricultureRealValueAddedPerWorker,agricultureRealValueAddedPerWorker_state,industryRealValueAddedPerWorker,industryRealValueAddedPerWorker_state,servicesRealValueAddedPerWorker,servicesRealValueAddedPerWorker_state,grossDomesticProductRealValueAddedPerWorker,grossDomesticProductRealValueAddedPerWorker_state,agricultureRealValueAddedPerManHour,agricultureRealValueAddedPerManHour_state,industryRealValueAddedPerManHour,industryRealValueAddedPerManHour_state,servicesRealValueAddedPerManHour,servicesRealValueAddedPerManHour_state,grossDomesticProductRealValueAddedPerManHour,grossDomesticProductRealValueAddedPerManHour_state,agricultureNominalValueAddedPerManHour,agricultureNominalValueAddedPerManHour_state,industryNominalValueAddedPerManHour,industryNominalValueAddedPerManHour_state,servicesNominalValueAddedPerManHour,servicesNominalValueAddedPerManHour_state,agricultureRelativeProductivityWorkerGdp100,agricultureRelativeProductivityWorkerGdp100_state,industryRelativeProductivityWorkerGdp100,industryRelativeProductivityWorkerGdp100_state,servicesRelativeProductivityWorkerGdp100,servicesRelativeProductivityWorkerGdp100_state,relativeProductivityWorkerGdp100StandardDeviationSeries,relativeProductivityWorkerGdp100StandardDeviationSeries_state,relativeProductivityWorkerGdp100StandardDeviationFiveYearAverage,relativeProductivityWorkerGdp100StandardDeviationFiveYearAverage_state,agricultureRelativeProductivityWorkerIndustry100,agricultureRelativeProductivityWorkerIndustry100_state,agricultureRelativeProductivityWorkerIndustry100FiveYearAverage,agricultureRelativeProductivityWorkerIndustry100FiveYearAverage_state,agricultureRelativeProductivityManHourGdp100,agricultureRelativeProductivityManHourGdp100_state,industryRelativeProductivityManHourGdp100,industryRelativeProductivityManHourGdp100_state,servicesRelativeProductivityManHourGdp100,servicesRelativeProductivityManHourGdp100_state,relativeProductivityManHourGdp100StandardDeviationSeries,relativeProductivityManHourGdp100StandardDeviationSeries_state,relativeProductivityManHourGdp100StandardDeviationFiveYearAverage,relativeProductivityManHourGdp100StandardDeviationFiveYearAverage_state,agricultureRelativeProductivityManHourIndustry100,agricultureRelativeProductivityManHourIndustry100_state,agricultureRelativeProductivityManHourIndustry100FiveYearAverage,agricultureRelativeProductivityManHourIndustry100FiveYearAverage_state
1826,96.89522653726883,,1.02,,120.93844780522286,,217.27639819510128,,436.1300725375929,,50.97485319821157,,37.3,,132.2,,109.5858672056727,,93.10193228321418,,190.08436603142263,,2.7345844504021453,,91.48142799184787,,198.27045561204812,,468.4436314499834,,23.127721945748796,,194.1486762493525,,177.1657981087751,,413.0023505918441,,443.6023404278005,,436088,294932,311344,1042364,1129068.9722743193,930686.0521212195,982475.6832477619,3042230.7076433008,192.81895048182477,,91.48142799184787,,177.1657981087751,,443.6023404278005,,442.1560567633706,,310.17803423110365,,569.0355301813271,,425.57335098660405,,0.17077694562221782,,0.09829461587325115,,0.18032588605462435,,0.14581482571762028,,0.08672209487790201,,0.129945482184438,,0.22115193475003112,,56.66866441805958,,103.49261837496762,,157.38408496290694,,50.39902242881815,,50.81351850239189,,54.75623798862777,,52.312346883598444,,63.88065823127529,,95.71958504703474,,145.56341835970508,,41.17077904347358,,41.68438566868072,,66.73729122403276,,63.54013418765554,
1827,114.28191263903409,,0.884,,137.2514081902127,,222.90904859972474,,475.3263694289715,,58.74987614672504,,31.7,,128.2,,108.61420879837169,,95.20223165044914,,194.52281457346464,,2.7886435331230284,,107.06038080359805,,205.23009932662376,,499.2807008707648,,23.439365350289364,,199.46968324943538,,183.6497134732392,,451.88700407868214,,474.66009592911706,,438476,298216,313034,1049726,1135654.5842904414,938011.3771894366,984620.0520666833,3058286.0135465614,197.31145810658768,,107.06038080359805,,183.6497134732392,,474.66009592911706,,449.9937467651312,,359.002806031863,,586.6765701912226,,452.17523042119285,,0.17374249251137236,,0.11413548215628584,,0.18651835607833175,,0.1552046125923567,,0.1014092790467534,,0.14632168812435842,,0.226390929305011,,61.01325978486116,,106.9133581274003,,148.02377982983447,,43.527225960509384,,48.52159295815689,,57.06794815307964,,53.90312167364499,,68.63188738628234,,99.02775876053525,,137.10600262264782,,34.30880865906423,,39.36172065411961,,69.30570604172217,,65.48155618899924,
1828,100.87936948113412,,0.816,,138.9499251871625,,227.00359097025213,,467.6488856385488,,52.17625769468814,,32.7,,130.2,,102.42449501059161,,90.62915879486631,,193.34343614951183,,2.495412844036697,,106.72037264759027,,221.6301783540919,,516.0026771262923,,23.927939695514212,,203.07565127473794,,198.26863803794012,,443.72094594303456,,489.60064491757055,,443142,303085,316349,1062576,1148146.8363083182,954157.88498383,995914.9834427623,3098219.7047349107,195.83884899354854,,106.72037264759027,,198.26863803794012,,489.60064491757055,,441.9324934074146,,352.11367321903185,,626.740207928396,,460.76764854238246,,0.17056951497879566,,0.11184770814884461,,0.19908189085834266,,0.15802644472544325,,0.0885734875237032,,0.14562571600979565,,0.22793470802650959,,54.95514237870815,,109.78523765792885,,153.72392370597393,,49.48437404007843,,46.39479854314736,,50.05695078052164,,54.497450139017516,,61.8452040346681,,101.68112796631472,,142.37635488419656,,40.266339512747955,,37.12069043036388,,60.82269667106407,,66.30420779296917,
1829,110.57926760640174,,0.612,,140.58275446120302,,227.32345022426045,,479.0974722918652,,57.556535849239246,,32.7,,124.2,,103.50407027304199,,91.94248516078271,,192.1228683672826,,1.8715596330275228,,113.19062355974478,,219.62754665066316,,521.0838835322456,,24.15227867740018,,203.17117154686028,,196.2929293610369,,454.945193614465,,494.814984409969,,446237,306919,318543,1071699,1156576.0323253712,967079.1569705022,1003705.5245809306,3127360.7138768043,193.9944280003101,,113.19062355974478,,196.2929293610369,,494.814984409969,,434.73407180558786,,368.7964041318549,,616.2211361136076,,461.7107829810133,,0.1677316688037117,,0.11704380426761415,,0.19556824641669035,,0.15822127016380405,,0.09613831213746016,,0.1453684049003768,,0.22648420742644915,,58.697397808669514,,107.90014245222035,,150.24767605240027,,45.817895210243854,,45.58827443934173,,54.39974079242901,,56.687904521383714,,66.08690116900247,,99.92839684984862,,139.1472620620511,,36.563147549301945,,36.38948287370909,,66.13425537918313,,68.95296511858656,
1830,108.97407630466087,,1.224,,135.60718646763866,,213.04045101998713,,458.8457137922867,,65.80905483757657,,32.7,,123.1,,105.20709067573343,,95.46402590366522,,165.59131045662326,,3.7431192660550456,,110.16018397046194,,202.4962858032211,,480.64777223549913,,24.409003720410425,,188.6314472995767,,179.29537456840404,,434.4367100718763,,455.0789744717823,,449981,311235,321200,1082416,1166693.7723431366,983761.5234302436,1015259.2135389473,3165714.509312328,169.3344297226783,,110.16018397046194,,179.29537456840404,,455.0789744717823,,376.3146215566397,,353.9453595208185,,558.2047776102244,,420.42890577354945,,0.14514042479424094,,0.11197854494893056,,0.17660058847771876,,0.14375237347938769,,0.09445329950064266,,0.13784558883213352,,0.2098384808322791,,61.01653253615334,,108.55803230249114,,146.32086080069536,,42.74547507608699,,48.2161903552814,,56.20637298042954,,58.46805737226144,,68.82755847960837,,100.44726205075733,,135.38869060730534,,33.29437738723168,,39.11574221146641,,68.52108964884368,,71.11617345809384,
1831,127.9781003186784,,0.816,,136.33432738224906,,249.02410953177636,,514.1525372327038,,68.1075368977897,,31.7,,122,,112.51428454248376,,99.02790427862645,,187.90592957536788,,2.5741324921135647,,111.74944867397463,,221.32666136071683,,519.1996548630134,,24.190685968998235,,224.83342356277814,,199.82655933601416,,489.96185126370557,,494.77150388353294,,451847,314284,322517,1088648,1171947.600359668,992212.5063219228,1018204.5567112153,3182364.6633928064,190.48006206748144,,111.74944867397463,,199.82655933601416,,494.77150388353294,,421.5587622967098,,355.5683670628305,,619.5845779788791,,454.4825360295825,,0.1625329170084256,,0.11262652704129249,,0.19625384508339935,,0.15547291282327258,,0.10989749053554254,,0.13740436299037684,,0.2445717885373842,,63.33295890980967,,96.38471334345009,,154.89360023517014,,46.366401909789985,,49.062954081111386,,65.70850990045872,,59.58731039431676,,71.3798206072218,,89.24588480690248,,143.42125347882038,,37.51474126019966,,40.03999456858467,,79.98107785211977,,72.43283200270471,
1832,123.68786664899736,,0.816,,132.0115443298021,,278.8095095814476,,535.324920560247,,62.36885816892213,,34.4,,124.4,,114.15533255155222,,98.11027676669993,,198.31670849897003,,2.372093023255814,,106.11860476672193,,244.23695621537266,,545.6359294890342,,23.998953708448234,,254.8105558729994,,223.21388775940684,,511.3259668517988,,521.1747267492678,,453078,316913,323380,1093371,1175557.452375808,998673.085328979,1019052.2393643848,3193282.777069172,200.68880152222584,,106.11860476672193,,223.21388775940684,,521.1747267492678,,442.9453681755147,,334.8509047174522,,690.2526060962547,,476.66777950875576,,0.17071798670208135,,0.10625960219180709,,0.2190406724375901,,0.16320970084196784,,0.10591049071857302,,0.13218694512660806,,0.2735968764028721,,58.75969962162976,,89.07207292252318,,168.4899343457717,,56.66680554020776,,50.84526504180572,,65.96871240746832,,58.49690473315752,,66.14218088802579,,82.55209447411622,,156.15665518583256,,47.94010534785082,,41.886446998433584,,80.12174773925855,,71.06818836892795,
1833,101.72741518785465,,0.884,,129.69078105654322,,238.42189263754355,,470.7240888819414,,51.01310317815518,,37.3,,119.5,,101.65830477434325,,87.44657203561096,,199.4142854485597,,2.3699731903485257,,108.52785025652152,,234.5326268884596,,538.2990755661044,,24.243757525405695,,214.17813511213785,,210.6843465347581,,446.4803313565357,,510.5749956381539,,456652,321210,325914,1103776,1185251.0163940634,1009769.5089619335,1024557.2047689038,3219577.730124901,201.78425863890823,,108.52785025652152,,210.6843465347581,,510.5749956381539,,441.8775317723523,,337.871953726601,,646.441535296913,,462.57120614885076,,0.1702460118978042,,0.10747784449155201,,0.2056345370996434,,0.15858445996219092,,0.08657357282850806,,0.12843602416740466,,0.23270725297502673,,55.550622263906014,,99.81565552816663,,162.4616019248648,,53.718192669228344,,51.70133488170818,,55.653215890798194,,57.6174446752167,,62.428359665732145,,92.61544890427713,,150.74242725113817,,44.88760129833922,,42.812405864005655,,67.40598939411835,,69.92154348052686,
1834,94.76038816840548,,1.02,,138.41551135002177,,236.26335180141615,,470.4592513198434,,47.2942286230823,,32.7,,122.7,,99.45239604685635,,85.8746076312562,,200.36353467906437,,3.1192660550458715,,112.8080777098792,,237.56426309739408,,547.8444260729385,,23.785950921263503,,212.47740088015266,,213.64734217167106,,446.6733003985799,,520.1459578325946,,460115,325467,328370,1113952,1194663.1204124691,1023974.5074224713,1033107.8388970831,3251745.4667320233,203.48280073411024,,112.8080777098792,,213.64734217167106,,520.1459578325946,,442.24335380091986,,346.60373466397266,,650.6299058125622,,466.9374962589004,,0.1703265106767972,,0.1101668810035491,,0.20680062054291928,,0.15995900145140723,,0.08017355397673644,,0.13517476299135475,,0.2286918585901393,,51.91426205383889,,106.06065006207635,,161.37109882554472,,54.729450013715535,,52.5126443589467,,48.947712486632824,,54.60130399871629,,58.3656982548574,,98.40613315850455,,149.72476436516638,,45.795409698546536,,43.58954134312153,,59.3110372102994,,66.20140484661415,
1835,107.38547884596396,,0.7900886026263131,,148.52489080698842,,228.4966088998803,,485.197067155459,,50.09901501091295,,37.3,,127.6,,99.79703060244566,,87.91730318661395,,214.3464872963519,,2.1182000070410543,,116.39881724685614,,228.96133033268896,,551.8789243632461,,23.994999630002802,,204.5016092698775,,204.91752914426488,,461.20206752545624,,524.586231388951,,464297,330272,331338,1125907,1205949.2524317866,1039620.4401121531,1042975.9634055585,3288545.655949498,216.46468730339296,,116.39881724685614,,204.91752914426488,,524.586231388951,,466.22030145228797,,352.4331982331416,,618.4546570096544,,465.92323468008544,,0.17949734357966865,,0.1119628017647471,,0.19647387507873298,,0.1595192179983549,,0.08970159169671123,,0.14286453505181732,,0.21908137571434133,,56.87803422169569,,109.78392638144567,,150.67345855626738,,47.02582427559925,,50.49996617159538,,51.80907269072543,,51.54853112375972,,63.960636882811315,,101.86783174122844,,139.80897778012846,,37.92417171509207,,41.580373058480816,,62.787865206838255,,62.354633234520136,
1836,116.6747532076503,,0.612,,165.71922714248214,,262.5832575249931,,545.5892378751255,,51.73338081453297,,37.3,,132.9,,111.64488590684438,,94.60982544978934,,225.5308881241219,,1.640750670241287,,124.6946780605584,,235.19506101165305,,576.6729145533375,,24.625034575033872,,237.9582229499592,,213.13848907374916,,520.9642033000916,,550.6449259612831,,469119,335580,334764,1139463,1218906.1444520126,1057118.8265179938,1054548.3248121752,3330573.295782182,227.1716387943632,,124.6946780605584,,213.13848907374916,,550.6449259612831,,484.25162654755655,,371.57958776017165,,636.682824538329,,483.24950082739247,,0.18637336420721173,,0.1179571065546962,,0.20211353435292884,,0.16533037319989818,,0.09622295673993773,,0.15676499461119128,,0.2490006871631621,,54.68374959026742,,108.0112952767807,,155.47276172760888,,50.42294929598262,,49.062615495295816,,50.62780651795668,,50.79849171108564,,61.516243943278305,,100.22133986521055,,144.25980591156932,,41.40041865577901,,40.12535227260126,,61.38038468255621,,61.404399958388844,
1837,116.0323453029494,,1.224,,166.3553014087675,,245.64207269911077,,529.2537194108277,,50.6397775612224,,39.2,,132.2,,98.97930529265682,,88.82604798677399,,229.13280999836303,,3.1224489795918364,,125.83608276003595,,248.17518366370544,,595.8316635787202,,24.888195194571054,,220.75387750453973,,223.03033634336614,,504.36552421625663,,567.8126356486732,,473025,340278,337534,1150837,1229491.2124716598,1062078.5623077287,1053513.9663744844,3345083.741153873,232.25525897795487,,125.83608276003595,,223.03033634336614,,567.8126356486732,,490.99996612854466,,369.8037568107134,,660.7640603416726,,493.3910151035057,,0.1889035534552944,,0.11848095538866169,,0.2117013570412291,,0.16974541733081056,,0.095369811604613,,0.15663182302381073,,0.23316451469974564,,56.561469323771576,,111.55041681085562,,149.23106484549297,,46.60341460345116,,47.50791473369973,,50.704848032685476,,53.24388903406911,,63.25174717110775,,103.88231141658837,,138.97274787950377,,37.89426392464722,,38.62298553848336,,60.88788967878842,,64.3286967674741,
1838,126.10956118293191,,1.2919999999999998,,177.56944730374258,,263.6361009114504,,568.6071093981249,,56.23952694825694,,33.6,,124.7,,107.66535256587079,,93.37872111058256,,224.23652549381993,,3.8452380952380945,,142.39731139033086,,244.86624027925333,,608.925783771186,,25.134128022383578,,238.50197288906682,,221.5215639991044,,543.4729813757413,,582.0094502388187,,477831,345669,340947,1164447,1242423.7564925083,1084970.0441506125,1070148.8465642536,3397542.6472073747,228.08176358905803,,142.39731139033086,,221.5215639991044,,582.0094502388187,,477.3272633819447,,411.9470111301009,,649.7243383842779,,499.81617904363077,,0.18357807664025727,,0.13124538521412268,,0.2070007034164512,,0.17130305949719393,,0.10254276008259837,,0.163662995362011,,0.24635460922829788,,57.127102391612695,,110.0650861591586,,149.88109961244166,,46.531439287730535,,46.188789997827854,,51.903018827427786,,55.12059516246438,,64.10500843318154,,102.31456310938431,,139.32682706508774,,37.61249736894147,,37.381685348833955,,62.654823013461915,,66.50387355495126,
1839,145.43961022942298,,0.884,,174.00632732182981,,289.62851437264584,,609.9584519238986,,63.69282346862316,,33.1,,131.8,,111.56852385803951,,99.08686788164309,,228.345365001868,,2.6706948640483383,,132.02301010760985,,259.59697624140927,,615.5795061081953,,25.5792402,,264.0492741726458,,236.67004370213212,,584.3792117238986,,589.7645411720206,,482633,351107,344357,1178097,1255354.9205136872,1103704.1581444477,1082485.5465318195,3441544.6251899544,231.01605986591633,,132.02301010760985,,236.67004370213212,,589.7645411720206,,478.657820467967,,376.0193049629026,,687.2810591976702,,500.6077947503648,,0.1840244986424917,,0.11961811426856225,,0.21863575403884178,,0.17136623388675917,,0.11655955446412543,,0.15765667460596508,,0.2675587820092268,,61.120047948350134,,99.91066379728436,,154.58322167015862,,46.955946205735074,,45.37742261973345,,61.174699101550175,,55.27365344207391,,68.64462323996484,,92.84766984008228,,143.6552554346782,,38.28357602795707,,36.559051956650244,,73.9325212557257,,66.67890098967516,
1840,150.19365710363766,,0.816,,180.5364703762405,,269.5380159245928,,601.084143404471,,64.25518742335234,,33.6,,126.9,,104.83923540372497,,95.58675565354979,,233.7455746787731,,2.4285714285714284,,142.266722124697,,257.0965105636549,,628.8362224397232,,26.142197488749165,,243.39581843584364,,232.16100107803314,,574.9419459157218,,601.4870386432771,,487761,356834,347998,1192593,1269143.3525355584,1117698.6440233774,1090021.950606857,3476863.947165793,236.1741461073445,,142.266722124697,,232.16100107803314,,601.4870386432771,,484.20055335983096,,398.6916104538721,,667.133147541173,,504.35231352462836,,0.18608941664115713,,0.1272854028099916,,0.21298745493040777,,0.1729970018336744,,0.11898550057559927,,0.16152517616587933,,0.24727760369828392,,64.21935072026427,,104.94626347420812,,145.07902428398322,,40.43020059623987,,44.245347348366415,,61.192603332701765,,57.34762268003531,,71.95446429428158,,97.67961192608338,,135.0335145010387,,31.717670766845018,,35.37916953267434,,73.66374914422401,,69.29204577891616,
1841,132.77722975923595,,1.224,,191.822830170555,,277.05061847511257,,602.8746784049035,,60.07249046610007,,33.1,,125.8,,104.0891827956445,,93.75740714171067,,221.02834213967606,,3.697885196374622,,152.48237692412957,,266.1665804592189,,643.0155192897793,,26.46142603620513,,250.58919243890745,,240.74470152281094,,576.4132523686984,,614.7922280929465,,493289,362909,351926,1208124,1283982.576558239,1144270.0178942438,1109640.0759348758,3537892.6703873584,224.72622733605067,,152.48237692412957,,240.74470152281094,,614.7922280929465,,455.5670759657131,,420.16697553416856,,684.0776229173489,,508.88172744929034,,0.17502280127385944,,0.1332573383376216,,0.21695746823129353,,0.17377356674464461,,0.10436374465331999,,0.16763773162872794,,0.24967611073500248,,56.935731876178565,,110.78478275279878,,149.24113317713469,,46.366112405510606,,43.51280602084242,,51.39309791600435,,59.52779975365429,,64.05607881946908,,102.89220443361316,,138.60883059210485,,37.287251694860466,,34.782668001915575,,62.25552185617575,,71.78203652393688,
1842,143.38169410388892,,1.496,,175.49777967747823,,262.6083077361869,,582.983781517554,,63.66535563263784,,32.7,,120.2,,100.52144253890174,,92.12370219680247,,225.21148696825117,,4.574923547400611,,146.0048083839253,,261.2460596499673,,632.8271309289487,,26.81869124853163,,235.78961648765525,,234.56648704220973,,556.1650902690224,,603.7155227228009,,496981,367681,354542,1219204,1294051.5365791644,1159260.595558809,1117834.6720951344,3571146.8042331077,229.78641051565177,,146.0048083839253,,234.56648704220973,,603.7155227228009,,462.3645783554135,,397.0964188628874,,661.6042303654002,,495.1718684672958,,0.17757129760310317,,0.12594649463914998,,0.20984005318296903,,0.16905368382144872,,0.11195666479163131,,0.15138768655625828,,0.2349258922555923,,63.90493434437122,,104.63406351502698,,145.79063895767334,,40.94303824661599,,44.06213297989549,,61.07469422249241,,58.91394878133464,,71.8875910549937,,97.20632641364064,,135.44128902666156,,31.994851804767652,,35.50841299099473,,73.9536136249934,,70.75838809740533,
1843,135.390731900448,,0.476,,160.95152127024383,,254.1687511553305,,550.9870043260223,,58.52063888614114,,32.8,,117.3,,96.22598385383819,,87.63835770086442,,231.35552597753892,,1.4512195121951221,,137.21357312041246,,264.13733689789905,,628.7053052804841,,27.172503486310028,,226.99624766902048,,235.89911848946633,,523.8145008397123,,597.7000420610867,,501837,373363,357989,1233189,1307159.4246017463,1162995.6081502992,1115106.8390979217,3585261.871849967,232.80674548973403,,137.21357312041246,,235.89911848946633,,597.7000420610867,,463.9090889865316,,367.50715287913494,,658.9563324277179,,484.67837619463575,,0.17810126378476254,,0.11798288158512094,,0.2115484456003333,,0.16671028879479816,,0.10394044471036322,,0.13839392009934687,,0.2279321964888523,,63.738608221343405,,101.48828968165849,,149.27982637905808,,42.86873265011052,,45.25471691864455,,62.80390419552276,,58.32818134374357,,71.14230567611324,,94.72407583841789,,139.33029750949962,,34.629989715147666,,36.78894466569473,,75.10477673856553,,69.95709276682135,
1844,118.38719504064143,,0.952,,153.66396367017322,,256.8151789449322,,529.8183376557469,,51.68170784156759,,29.3,,114.4,,91.96764215970373,,82.60584685457209,,229.06981983560271,,3.2491467576791804,,134.32164656483673,,279.2451485262254,,641.3811586345627,,27.521013656272018,,229.29416528866017,,249.32047827265816,,502.2973239994748,,608.0650984472942,,506567,379003,361346,1246916,1319948.1246245122,1169564.9783637903,1115077.2597363137,3604590.362724616,232.31896659328189,,134.32164656483673,,249.32047827265816,,608.0650984472942,,458.61449046874725,,354.40787161272266,,689.977136242433,,487.6552217208651,,0.17600613407392057,,0.11484752796954587,,0.22359031725892775,,0.16869187265641847,,0.0904120342415654,,0.1313855719971605,,0.23031155617473736,,58.48204395412539,,100.64813154619088,,157.52376569794484,,49.702581001000446,,44.38170613801585,,58.1054442399519,,62.33458640191857,,64.88156152347237,,94.28502681462047,,147.56490999492195,,41.91230097335285,,36.11869017012134,,68.81427912306792,,74.67650028641773,
1845,132.6193540829071,,0.544,,171.95990967182772,,269.29542718651527,,574.4186909412501,,64.07195041265295,,28,,114.6,,96.5736584863218,,89.19193990289669,,206.9850429537063,,1.942857142857143,,150.05227720054773,,278.84977270966374,,644.0253363326552,,27.684708918008575,,241.6107182685067,,250.1828366611245,,546.7339820232415,,612.9858624203836,,511717,385009,365001,1261727,1333840.5246481413,1199811.0460687065,1137459.725944391,3671111.2966612387,208.92790009656346,,150.05227720054773,,250.1828366611245,,612.9858624203836,,408.2879796773675,,389.7370638103206,,685.4305513166388,,485.83081951989897,,0.15663634162837967,,0.1250632569955145,,0.21994874275957937,,0.16697555941109035,,0.09983453915379784,,0.14332249251685963,,0.23675161506305567,,60.05431380793712,,103.0731752882956,,152.76064053679974,,46.39312028998517,,43.89994943200443,,58.263766144746434,,69.73215573523615,,67.03510601777374,,96.23561707234846,,142.62696831942355,,38.12032914034501,,36.177172884773704,,69.6572724913041,,83.45591156114142,
1846,160.96154842400398,,0.476,,171.01409007179456,,282.6483804420571,,615.1000189378556,,78.7873524787891,,27.1,,108.3,,102.79397588233084,,95.04455382798845,,204.29871465390028,,1.7564575645756455,,157.90774706536894,,274.9658995247029,,647.1701893104396,,27.691544351598168,,254.95683609045892,,248.02702094363025,,587.4084745862574,,618.034859366428,,512694,387915,365681,1266290,1336861.4046667044,1215813.531158677,1146127.1358097424,3698802.071635124,206.05517221847592,,157.90774706536894,,248.02702094363025,,618.034859366428,,401.906736217853,,407.0679067975431,,678.2606177067725,,488.0673932246389,,0.1541335335878351,,0.1298782609491786,,0.21640445740637523,,0.16709054645176358,,0.12075862752897133,,0.1406581566079604,,0.246611716633308,,67.87960215111634,,95.03603088580809,,150.299395740187,,42.001058502367144,,43.99471065845198,,71.42512320687935,,71.32436330567364,,76.03946503948231,,88.56982892872847,,140.07310327169327,,33.93597921699352,,36.395475419298656,,85.85255945415763,,85.2606970642046,
1847,209.94877305055266,,1.156,,163.79855027443207,,305.3478313965279,,680.2511547215126,,94.62268117359665,,27.8,,106.1,,113.21550944364431,,104.6399821022011,,221.8799662476024,,4.158273381294963,,154.38129149333844,,269.70494846249136,,650.0872238845725,,27.786669378318145,,277.56116201820976,,245.16178338301998,,652.4644853431945,,623.5326805636656,,510907,388738,364388,1264033,1332674.5206816578,1218619.5786704258,1142286.96714126,3693581.0664933436,226.03823962889737,,154.38129149333844,,245.16178338301998,,623.5326805636656,,442.42541133493444,,397.13455204620703,,672.8042179847305,,493.2882927610795,,0.16961248686084257,,0.12668538582137015,,0.21462363699777925,,0.16881521464902965,,0.15840685011564068,,0.13441319435647375,,0.26731271578866517,,80.04933613247442,,81.63090147033742,,147.56935038692234,,38.53425471655887,,43.80823488435739,,98.06254088908022,,73.59501808642713,,89.67362293784072,,76.09088937627334,,137.5543196677798,,32.28726537802948,,36.25456015003742,,117.85066999861189,,87.9840457341098,
1848,142.75016865335016,,1.632,,156.11606765552258,,261.3588929506801,,561.8571292595528,,62.63338824428511,,28,,104,,93.29123493606858,,84.92457617026336,,227.91385338533908,,5.828571428571428,,150.11160351492555,,280.1537498456167,,661.5954469211576,,27.780909026156454,,233.57798392452366,,250.37505836919408,,534.0762202333964,,628.8829974996155,,510871,390898,364345,1266114,1333053.516698898,1212623.0735963008,1130251.7632462794,3675928.3535414785,233.7424248139105,,150.11160351492555,,250.37505836919408,,628.8829974996155,,457.5370784677746,,384.01732297153103,,687.1922446285638,,496.7032964643117,,0.17534361665594467,,0.12379081907928449,,0.22152149327338666,,0.1710814077466266,,0.1083093565597354,,0.12874245184245586,,0.2312395356942527,,66.99954910828615,,94.67901360410144,,151.98077725146413,,43.34253878234825,,44.47534843661501,,70.7649420477103,,76.87503845790704,,74.54693162668342,,88.61057862215212,,142.23959565114504,,35.721502387772425,,37.12850581735362,,84.12870425388141,,91.70256820166944,
1849,135.75394573898492,,1.088,,151.59339363154416,,270.1404266524736,,558.5757660230026,,55.913810961978456,,28,,104.1,,91.39648444234028,,81.73071268475894,,242.79143811409668,,3.885714285714286,,145.62285651445166,,295.56982229759427,,683.4343512670303,,27.772503156785056,,242.36792349568853,,265.18298266558855,,530.8032628662176,,649.4538533067279,,511866,393862,365037,1270765,1336123.824,1220108.434322786,1130814.1494733861,3687046.4077961724,246.67715239981095,,145.62285651445166,,265.18298266558855,,649.4538533067279,,481.9174401109098,,369.7306582367724,,726.4550789799076,,511.07313571488663,,0.1846214759207908,,0.11935238903194598,,0.23450624736972278,,0.1761447460855044,,0.10241711380410572,,0.12424583698225575,,0.23889020735925215,,64.00215814712452,,92.144168302524,,158.95343458853557,,48.770202130527544,,45.809548726588915,,69.45871814371934,,79.28036193645471,,71.14060480887687,,86.3031934761323,,148.87745227621053,,41.20772462704669,,38.70634135974888,,82.43102247259398,,94.2211663987006,
